PassengerId,Survived,Age,Fare
1,0,22,7.25
2,1,38,71.2833
3,1,26,7.925
4,1,35,53.1
5,0,35,8.05
6,0,,8.4583
7,0,54,51.8625
8,0,2,21.075
9,1,27,11.1333
10,1,14,30.0708
11,1,4,16.7
12,1,58,26.55
13,0,20,8.05
14,0,39,31.275
15,0,14,7.8542
16,1,55,16
17,0,2,29.125
18,1,,13
19,0,31,18
20,1,,7.225
21,0,35,26
22,1,34,13
23,1,15,8.0292
24,1,28,35.5
25,0,8,21.075
26,1,38,31.3875
27,0,,7.225
28,0,19,263
29,1,,7.8792
30,0,,7.8958
31,0,40,27.7208
32,1,,146.5208
33,1,,7.75
34,0,66,10.5
35,0,28,82.1708
36,0,42,52
37,1,,7.2292
38,0,21,8.05
39,0,18,18
40,1,14,11.2417
41,0,40,9.475
42,0,27,21
43,0,,7.8958
44,1,3,41.5792
45,1,19,7.8792
46,0,,8.05
47,0,,15.5
48,1,,7.75
49,0,,21.6792
50,0,18,17.8
51,0,7,39.6875
52,0,21,7.8
53,1,49,76.7292
54,1,29,26
55,0,65,61.9792
56,1,,35.5
57,1,21,10.5
58,0,28.5,7.2292
59,1,5,27.75
60,0,11,46.9
61,0,22,7.2292
62,1,38,80
63,0,45,83.475
64,0,4,27.9
65,0,,27.7208
66,1,,15.2458
67,1,29,10.5
68,0,19,8.1583
69,1,17,7.925
70,0,26,8.6625
71,0,32,10.5
72,0,16,46.9
73,0,21,73.5
74,0,26,14.4542
75,1,32,56.4958
76,0,25,7.65
77,0,,7.8958
78,0,,8.05
79,1,0.83,29
80,1,30,12.475
81,0,22,9
82,1,29,9.5
83,1,,7.7875
84,0,28,47.1
85,1,17,10.5
86,1,33,15.85
87,0,16,34.375
88,0,,8.05
89,1,23,263
90,0,24,8.05
91,0,29,8.05
92,0,20,7.8542
93,0,46,61.175
94,0,26,20.575
95,0,59,7.25
96,0,,8.05
97,0,71,34.6542
98,1,23,63.3583
99,1,34,23
100,0,34,26
101,0,28,7.8958
102,0,,7.8958
103,0,21,77.2875
104,0,33,8.6542
105,0,37,7.925
106,0,28,7.8958
107,1,21,7.65
108,1,,7.775
109,0,38,7.8958
110,1,,24.15
111,0,47,52
112,0,14.5,14.4542
113,0,22,8.05
114,0,20,9.825
115,0,17,14.4583
116,0,21,7.925
117,0,70.5,7.75
118,0,29,21
119,0,24,247.5208
120,0,2,31.275
121,0,21,73.5
122,0,,8.05
123,0,32.5,30.0708
124,1,32.5,13
125,0,54,77.2875
126,1,12,11.2417
127,0,,7.75
128,1,24,7.1417
129,1,,22.3583
130,0,45,6.975
131,0,33,7.8958
132,0,20,7.05
133,0,47,14.5
134,1,29,26
135,0,25,13
136,0,23,15.0458
137,1,19,26.2833
138,0,37,53.1
139,0,16,9.2167
140,0,24,79.2
141,0,,15.2458
142,1,22,7.75
143,1,24,15.85
144,0,19,6.75
145,0,18,11.5
146,0,19,36.75
147,1,27,7.7958
148,0,9,34.375
149,0,36.5,26
150,0,42,13
151,0,51,12.525
152,1,22,66.6
153,0,55.5,8.05
154,0,40.5,14.5
155,0,,7.3125
156,0,51,61.3792
157,1,16,7.7333
158,0,30,8.05
159,0,,8.6625
160,0,,69.55
161,0,44,16.1
162,1,40,15.75
163,0,26,7.775
164,0,17,8.6625
165,0,1,39.6875
166,1,9,20.525
167,1,,55
168,0,45,27.9
169,0,,25.925
170,0,28,56.4958
171,0,61,33.5
172,0,4,29.125
173,1,1,11.1333
174,0,21,7.925
175,0,56,30.6958
176,0,18,7.8542
177,0,,25.4667
178,0,50,28.7125
179,0,30,13
180,0,36,0
181,0,,69.55
182,0,,15.05
183,0,9,31.3875
184,1,1,39
185,1,4,22.025
186,0,,50
187,1,,15.5
188,1,45,26.55
189,0,40,15.5
190,0,36,7.8958
191,1,32,13
192,0,19,13
193,1,19,7.8542
194,1,3,26
195,1,44,27.7208
196,1,58,146.5208
197,0,,7.75
198,0,42,8.4042
199,1,,7.75
200,0,24,13
201,0,28,9.5
202,0,,69.55
203,0,34,6.4958
204,0,45.5,7.225
205,1,18,8.05
206,0,2,10.4625
207,0,32,15.85
208,1,26,18.7875
209,1,16,7.75
210,1,40,31
211,0,24,7.05
212,1,35,21
213,0,22,7.25
214,0,30,13
215,0,,7.75
216,1,31,113.275
217,1,27,7.925
218,0,42,27
219,1,32,76.2917
220,0,30,10.5
221,1,16,8.05
222,0,27,13
223,0,51,8.05
224,0,,7.8958
225,1,38,90
226,0,22,9.35
227,1,19,10.5
228,0,20.5,7.25
229,0,18,13
230,0,,25.4667
231,1,35,83.475
232,0,29,7.775
233,0,59,13.5
234,1,5,31.3875
235,0,24,10.5
236,0,,7.55
237,0,44,26
238,1,8,26.25
239,0,19,10.5
240,0,33,12.275
241,0,,14.4542
