PassengerId,Survived,Pclass,Sex,Embarked
1,0,3,male,S
2,1,1,female,C
3,1,3,female,S
4,1,1,female,S
5,0,3,male,S
6,0,3,male,Q
7,0,1,male,S
8,0,3,male,S
9,1,3,female,S
10,1,2,female,C
11,1,3,female,S
12,1,1,female,S
13,0,3,male,S
14,0,3,male,S
15,0,3,female,S
25,0,3,female,S
26,1,3,female,S
27,0,3,male,C
28,0,1,male,S
29,1,3,female,Q
30,0,3,male,S
31,0,1,male,C
32,1,1,female,C
33,1,3,female,Q
34,0,2,male,S
35,0,1,male,C
36,0,1,male,S
37,1,3,male,C
38,0,3,male,S
39,0,3,female,S
40,1,3,female,C
41,0,3,female,S
42,0,2,female,S
43,0,3,male,C
44,1,2,female,C
45,1,3,female,Q
46,0,3,male,S
47,0,3,male,Q
48,1,3,female,Q
49,0,3,male,C
50,0,3,female,S
51,0,3,male,S
52,0,3,male,S
53,1,1,female,C
54,1,2,female,S
55,0,1,male,C
56,1,1,male,S
57,1,2,female,S
58,0,3,male,C
59,1,2,female,S
60,0,3,male,S
61,0,3,male,C
63,0,1,male,S
64,0,3,male,S
65,0,1,male,C
66,1,3,male,C
67,1,2,female,S
68,0,3,male,S
69,1,3,female,S
70,0,3,male,S
71,0,2,male,S
72,0,3,female,S
73,0,2,male,S
74,0,3,male,C
75,1,3,male,S
76,0,3,male,S
77,0,3,male,S
78,0,3,male,S
79,1,2,male,S
831,1,3,female,C
832,1,2,male,S
833,0,3,male,C
834,0,3,male,S
835,0,3,male,S
836,1,1,female,C
837,0,3,male,S
838,0,3,male,S
839,1,3,male,S
840,1,1,male,C
841,0,3,male,S
842,0,2,male,S
843,1,1,female,C
844,0,3,male,C
845,0,3,male,S
846,0,3,male,S
847,0,3,male,S
848,0,3,male,C
849,0,2,male,S
850,1,1,female,C
851,0,3,male,S
852,0,3,male,S
853,0,3,female,C
854,1,1,female,S
855,0,2,female,S
856,1,3,female,S
857,1,1,female,S
858,1,1,male,S
859,1,3,female,C
860,0,3,male,C
861,0,3,male,S
862,0,2,male,S
863,1,1,female,S
864,0,3,female,S
865,0,2,male,S
866,1,2,female,S
867,1,2,female,C
868,0,1,male,S
869,0,3,male,S
870,1,3,male,S
871,0,3,male,S
872,1,1,female,S
873,0,1,male,S
874,0,3,male,S
875,1,2,female,C
876,1,3,female,C
877,0,3,male,S
878,0,3,male,S
879,0,3,male,S
880,1,1,female,C
881,1,2,female,S
882,0,3,male,S
883,0,3,female,S
884,0,2,male,S
885,0,3,male,S
886,0,3,female,Q
887,0,2,male,S
888,1,1,female,S
889,0,3,female,S
890,1,1,male,C
891,0,3,male,Q
